id,date,review
1,2025-01-01,"The product quality is amazing, really happy with my purchase!"
2,2025-01-02,"Shipping was a bit slow, but the customer support was helpful."
3,2025-01-03,"I love the new features, but the pricing is a bit high."
4,2025-01-04,"The user interface is very intuitive and easy to use."
5,2025-01-05,"The product arrived damaged, very disappointed."
6,2025-01-06,"Great value for money, highly recommended."
7,2025-01-07,"The app keeps crashing on my phone, needs a fix."
8,2025-01-08,"Delivery was fast and the packaging was excellent."
9,2025-01-09,"The support team didn't respond to my email for 3 days."
10,2025-01-10,"Excellent product, will definitely buy again."
